quarter,gdp_real_sa,gov_exp_sa,hicp_index_2015_100_q_avg,infl_q_dlog_pct,euribor3m_q_avg,gdp_g_q_dlog_pct,gov_g_q_dlog_pct,taxes_mrd_eur,tax_g_q_dlog_pct
2020Q3,874.154,445.58,106.13333333333333,-0.2822645750508279,-0.47,8.320590168270225,-1.3597160202801994,184.447,-4.018529466475407
2020Q4,882.608,447.673,105.26666666666668,-0.8199352148686501,-0.5233333333333333,0.9624599416183875,0.4686250883801257,211.84,13.846911340857293
2021Q1,877.173,460.988,107.36666666666667,1.975295451561188,-0.5433333333333333,-0.6176924606813294,2.930895710291015,210.149,-0.8014469814669134
2021Q2,897.791,466.043,108.73333333333332,1.264863384976067,-0.54,2.323306547697701,1.0905892257622618,214.329,1.9695414701760505
2021Q3,898.568,462.887,109.86666666666667,1.0369107848402948,-0.55,0.086508325836565,-0.6794940723243492,219.46,2.3657765926918373
2021Q4,903.399,475.901,111.0,1.0262691945126967,-0.5666666666666667,0.5361931238905271,2.77268855831716,252.806,14.145241260561292
2022Q1,909.524,464.485,113.9,2.579066914080208,-0.53,0.6757069444846664,-2.4280584462113453,239.987,-5.203764096000896
2022Q2,910.904,466.936,117.73333333333332,3.3101309608559504,-0.36,0.1516127267152889,0.5262938364971603,239.925,-0.025838070456618567
2022Q3,913.578,491.495,120.2,2.073484203941156,0.4833333333333333,0.2931245048871211,5.125956328599912,231.795,-3.447301414992321
2022Q4,910.386,516.292,123.0,2.3027333271310013,1.7733333333333334,-0.3500072653444874,4.922073030273477,253.667,9.016902289939122
2023Q1,906.094,496.66,123.83333333333331,0.6752220117286711,2.6333333333333333,-0.4725631977523292,-3.876680953571477,231.922,-8.962127501361028
2023Q2,905.404,501.717,125.83333333333331,1.6021704531265613,3.3633333333333333,-0.0761800491493325,1.0130528345322354,241.108,3.884385764968279
2023Q3,905.404,512.364,127.1,1.001589817443893,3.776666666666667,0.0,2.099909423531709,235.77,-2.238821234303856
2023Q4,902.902,520.692,126.7,-0.3152090868314694,3.959,-0.2767232533215313,1.6123386174504262,253.241,7.148485094518708
2024Q1,901.932,525.5,127.2,0.3938563578928189,3.923666666666667,-0.107489120151083,0.919149419934584,238.907,-5.826724962613561
2024Q2,899.603,530.637,129.0666666666667,1.4568415828290604,3.8076666666666665,-0.2585574299122761,0.9727981333883308,247.457,3.5162474675677124
2024Q3,899.775,538.292,129.83333333333334,0.5922509908380391,3.5556666666666668,0.0191177174028389,1.4322992204250262,241.556,-2.4135499271276117
2024Q4,901.414,545.287,129.9,0.0513347033860966,2.9996666666666667,0.1819909462442481,1.2911097704671803,268.692,10.646441192755596
2025Q1,904.175,549.573,130.46666666666667,0.4352842617311836,2.557,0.30582841964506,0.7829351504020643,253.921,-5.654254717859075
2025Q2,902.277,557.05,131.76666666666668,0.9914915340664798,2.106666666666667,-0.2101357465813969,1.351338944149294,257.56,1.4229507651371875
2025Q3,902.277,567.018,132.5666666666667,0.6052981911004451,2.0113333333333334,0.0,1.7736046750278511,248.105,-3.7400659011252557
